"Table 4 - Full list of first forenames given, Scotland, 2009",,,,
,,,,
Boys names,Number of babies,,Girls names,Number of babies
ARRON,15,,ALYS,1
ARSENE,1,,ALYSA,1
ARSH,1,,ALYSHA-MAY,1
ARSHAD,1,,ALYSHIA,1
ARSHIA,1,,ALYSIA,3
ARTEMY,1,,ALYSS,1
ARTHUR,13,,ALYSSA,37
ARTIAN,1,,ALYX,6
ARTIS,1,,ALYZA,1
ARTUR,5,,ALZAHRA,1
ARTYOM,1,,ALZAHRAA,1
ARUN,2,,AMA,1
ARYA,1,,AMAAN,1
ARYAN,8,,AMAANI,1
ASAD,1,,AMAL,1
ASER,1,,AMALEIGH,1
ASH,1,,AMALYA,1
ASHAZ,1,,AMANDA,15
ASHEL,1,,AMANDA-JANE,1
ASHER,3,,AMANDINE,1
ASHFAN,1,,AMARA,3
ASHLEY,3,,AMARACHI,1
ASHMIN,1,,AMARAH,1
ASHRAF,1,,AMARANTH,1
ASHRITH,1,,AMAYA,5
ASHTON,59,,AMBAR,2
ASHTON-LEE,1,,AMBER,119
ASHTYN,3,,AMBER-LEIGH,3
ASHVIK,1,,AMBER-LILY,1
ASHWIN,1,,AMBER-MAY,1
ASIF,1,,AMBIKA,1
ASLAM,1,,AMBRE,1
ASTERIOS,1,,AMBUR,1
ASTON,19,,AME,1
ASTON-LEE,1,,AMEERA,7
ASTYN,1,,AMEERAH,1
ASYRAF,1,,AMEERAN,1
ATANAS,1,,AMELIA,120
ATHAN,1,,AMELIE,54
ATHANAFIS,1,,AMELLIA,1
ATHARVA,1,,AMENA,1
ATHOL,1,,AMERIE,1
ATHOLL,1,,AMI,8
ATHUL,1,,AMI-JEAN,1
ATTAH,1,,AMI-JO,1
AUBREY,1,,AMI-LOU,1
AUDEN,1,,AMI-MAY,1
AUGUST,1,,AMIE,15
AULAY,2,,AMIEE,6
AURIS,1,,AMIEE-LEE,1
AURON,1,,AMIEJANE,1
AURRON,1,,AMII,3
AUSTEN,1,,AMILAH,1
AUSTIN,43,,AMILEE,1
AUSTYN,1,,AMILIE,2
AVESTA,1,,AMINA,7
AVIER,1,,AMINAH,4
AVIRAL,1,,AMIRA,11
AVIV,1,,AMIRAH,2
AVNER,1,,AMISHA,1
AVRAM,1,,AMITA,1
AXEL,2,,AMITY,1
AYAAN,5,,AMIYAH,1
AYAD,1,,AMMAARAH,1
AYAN,2,,AMMIE,1
AYAT,1,,AMMIE-LEIGH,1
AYDAN,1,,AMNA,7
AYDEN,21,,AMNEET,1
AYDIN,7,,AMORIE,1
AYDN,1,,AMRIT,1
AYDON,1,,AMRITA,2
AYHAN,1,,AMY,332
AYIDEN,1,,AMY-JANE,1
AYMAN,2,,AMY-JAYNE,1
AYMEN,1,,AMY-LEE,4
AYOMIDE,3,,AMY-LEIGH,7
AYOOLA,1,,AMY-MAY,1
AYRTON,1,,AMYLEE,1
AYYUB,1,,AMYLEIGH,2
AZAAN,3,,AMYLOUISE,1
AZAN,1,,AMYNICOLE,1
AZEEM,1,,ANA,8
AZIZUR,1,,ANA-LUCIA,1
AZLAAN,1,,ANABELLA,1
AZLAN,1,,ANABELLE,1
BAASIT,1,,ANAH,1
BABATUNDE,1,,ANAIS,4
BACHIR,1,,ANAISE,1
BADARISH,1,,ANALEIGH,2
BADER,1,,ANALIA,1
BAILEY,41,,ANALIEGH,1
BAILLEY,1,,ANALISE,1
BAILLIE,9,,ANAM,1
BALAZS,2,,ANASTASIA,3
BALFOUR,1,,ANASTASIJA,1
BALTAZAR,1,,ANASTASIYA,1
BALWANT,1,,ANASTAZIA,1
BANJEET,1,,ANASTAZJA,2
BARAA,1,,ANAYA,2
BARBOD,1,,ANDI,6
BARKAD,1,,ANDIE,5
BARNABAS,1,,ANDII,1
BARNEY,1,,ANDREA,4
BARNIM,1,,ANDREJA,1
BARRIE,2,,ANDROMACHES,1
BARRIEJAMES,1,,ANEA,1
BARRON,1,,ANEESA,2
BARRY,5,,ANEESAH,1
BARTEK,1,,ANELLE,1
BARTLOMIEJ,2,,ANET,1
BARTOSZ,9,,ANGEL,24
BASHIR,1,,ANGEL-MAE,1
BASIL,1,,ANGELA,8
BASTIAN,1,,ANGELEA,1
BAVUMILE,1,,ANGELICA,4
BAWER,1,,ANGELIKA,1
BAXTER,2,,ANGELIN,1
BAYE,1,,ANGELINA,2
BAYLEE,1,,ANGELINE,1
BAYLEY,2,,ANHARIKA,1
BAYLIE,1,,ANHAT,1
BEAU,9,,ANIA,2
BECK,3,,ANIELA,1
BELLO,1,,ANIKA,2
BEN,215,,ANILA,1
BENEDICT,2,,ANISA,1
BENIAMIN,3,,ANISAH,2
BENITO,2,,ANISSA,1
BENJAMIN,116,,ANITA,4
BENJAMIN-JAMES,1,,ANJA,2
BENN,1,,ANJALI,2
BENNET,1,,ANJOLAOLUWA,1
BENNETT,1,,ANKITA,1
BENOIT,1,,ANN,2
BENON,1,,ANNA,190
BENSON,1,,ANNA-BETH,2
BEREN,1,,ANNA-GRACE,1
BERNABE,1,,ANNA-LEIGH,3
BERNIE,1,,ANNA-LISE,1
BERTIE,1,,ANNA-LOUISE,2
BEVIN,1,,ANNA-MAE,1
BHARGAV,1,,ANNABEL,23
BILAL,7,,ANNABELLA,4
BILLY,15,,ANNABELLE,20
BILLYJOE,1,,ANNAGH,1
BJORN,1,,ANNAKIN,1
BLAINE,10,,ANNALIE,1
BLAIR,81,,ANNALIESE,2
BLAKE,29,,ANNALISA,1
BLANE,1,,ANNALISE,6
BLAYNE,1,,ANNASTASIANGOZI,1
BLAZEJ,2,,ANNE,7
BLEU,1,,ANNE-MARIE,1
BLU,2,,ANNE-TEREZ,1
BO,1,,ANNELISE,1
BOBBIE,2,,ANNIE,24
BOBBY,19,,ANNIE-LOUISA,1
BOE,1,,ANNIKA,2
BOHEMOND,1,,ANNISSA,1
BOHENG,1,,ANOUSHKA,1
BOHUMIR,1,,ANSLEY,1
BOID,1,,ANTONELLA,2
BOLUWATIFE,1,,ANTONIA,8
BORHANE,1,,ANTONIETA,1
BORIS,1,,ANTONINA,4
BORYS,2,,ANUM,1
BOSTON,2,,ANUSHKA,3
BOTOND,2,,ANVI,1
BOURNE,1,,ANWEN,1
BOYD,24,,ANYA,31
BOZHIDAR,1,,ANYANKA,1
BRAD,5,,AOIBHE,1
BRADAN,1,,AOIFE,14
BRADEN,2,,AOIFE-GRACE,1
BRADLAY,1,,AOILISA,1
BRADLEY,21,,APPLE,1
BRADLY,2,,APRIL,13
BRADY,4,,AQSA,5
BRADYN,1,,ARA,2
BRAE,1,,ARABELLA,5
BRAEDEN,3,,ARABELLE,1
BRAIDEN,3,,ARAFAH,1
BRAJAN,2,,ARALE,1
BRANDEN,2,,ARAWEN-ZOE,1
BRANDEN-LEWIS,1,,ARDEN,1
BRANDIN,1,,AREEBE,1
BRANDON,67,,AREESHA,1
BRANDON-LEE,2,,ARI,3
BRANDYN,4,,ARIA,3
