Name,YearsAppearing,PropFemale,CountsFemale,PropMale,CountsMale
Abbra,4,1,36,0,0
Abbriella,1,1,7,0,0
Abbrielle,10,1,77,0,0
Abby,126,1,52615,0.222222222222222,181
Abbye,23,1,184,0,0
Abbygael,9,1,62,0,0
Abbygail,26,1,2501,0,0
Abbygaile,5,1,33,0,0
Abbygale,19,1,612,0,0
Abbygayl,1,1,6,0,0
Abbygayle,17,1,378,0,0
Abbylynn,1,1,7,0,0
Abcde,17,1,294,0,0
Abd,3,0,0,1,17
Abdala,1,0,0,1,6
Abdalah,1,0,0,1,6
Abdalla,22,0,0,1,218
Abdallah,35,0,0,1,923
Abdalrahman,13,0,0,1,101
Abdel,39,0,0,1,463
Abdelaziz,12,0,0,1,81
Abdelhadi,1,0,0,1,5
Abdelkareem,2,0,0,1,10
Abdelkarim,4,0,0,1,22
Abdellah,3,0,0,1,17
Abdelrahman,23,0,0,1,447
Abdelrhman,1,0,0,1,6
Abdi,14,0.142857142857143,10,1,193
Abdias,28,0,0,1,395
Abdiasis,1,0,0,1,6
Abdiaziz,9,0,0,1,79
Abdiel,36,0,0,1,2416
Abdifatah,12,0,0,1,128
Abdihakim,3,0,0,1,16
Abdihamid,1,0,0,1,5
Abdikadir,7,0,0,1,79
Abdikarim,3,0,0,1,15
Abdikhaliq,1,0,0,1,5
Abdilahi,1,0,0,1,5
Abdimalik,11,0,0,1,92
Abdinasir,13,0,0,1,107
Abdiqani,1,0,0,1,6
Abdirahim,4,0,0,1,34
Abdirahman,18,0,0,1,937
Abdirashid,3,0,0,1,22
Abdirisaq,1,0,0,1,6
Abdirizak,7,0,0,1,50
Abdisalam,1,0,0,1,5
Abdisalan,1,0,0,1,6
Abdisamad,1,0,0,1,6
Abdishakur,3,0,0,1,22
Abdiwahab,2,0,0,1,14
Abdiwali,1,0,0,1,5
Abdo,6,0,0,1,35
Abdon,45,0,0,1,331
Abdou,18,0,0,1,159
Abdoul,19,0,0,1,321
Abdoulaye,20,0,0,1,461
Abdoulaziz,2,0,0,1,10
Abdoulie,12,0,0,1,97
Abdourahman,1,0,0,1,5
Abdourahmane,3,0,0,1,18
Abdrahman,2,0,0,1,10
Abdrew,1,0,0,1,6
Abdu,4,0,0,1,26
Abdual,3,0,0,1,17
Abduallah,4,0,0,1,21
Abduel,1,0,0,1,5
Abdul,72,0,0,1,5005
Abdula,6,0,0,1,39
Abdulah,12,0,0,1,75
Abdulahad,4,0,0,1,24
Abdulahi,16,0,0,1,264
Abdulai,8,0,0,1,57
Abdulaye,1,0,0,1,5
Abdulazeem,1,0,0,1,5
Abdulazeez,4,0,0,1,25
Abdulaziz,32,0,0,1,706
Abdulbasit,1,0,0,1,5
Abdule,1,0,0,1,6
Abdulelah,1,0,0,1,7
Abdulhadi,7,0,0,1,46
Abdulhakeem,3,0,0,1,21
Abdulhakim,3,0,0,1,16
Abdulhalim,1,0,0,1,5
Abdulhameed,1,0,0,1,5
Abdulhamid,6,0,0,1,39
Abduljabbar,1,0,0,1,5
Abduljaleel,1,0,0,1,5
Abduljalil,1,0,0,1,5
Abdulkadir,10,0,0,1,82
Abdulkareem,16,0,0,1,122
Abdulkarim,13,0,0,1,91
Abdull,1,0,0,1,5
Abdulla,31,0,0,1,362
Abdullah,51,0,0,1,4602
Abdullahi,18,0,0,1,769
Abdullatif,3,0,0,1,15
Abdulmajeed,2,0,0,1,12
Abdulmajid,2,0,0,1,10
Abdulmalek,1,0,0,1,5
Abdulmalik,22,0,0,1,259
Abdulnasir,1,0,0,1,5
Abdulqadir,3,0,0,1,18
Abdulraheem,9,0,0,1,62
Abdulrahim,11,0,0,1,69
Abdulrahman,32,0,0,1,1302
Abdulrehman,6,0,0,1,35
Abdulrhman,1,0,0,1,5
Abdulsalam,2,0,0,1,10
Abdulsamad,1,0,0,1,5
Abdulwadud,1,0,0,1,5
Abdulwahab,11,0,0,1,91
Abdulwahid,1,0,0,1,5
Abdur,28,0,0,1,218
Abdurahman,15,0,0,1,220
Abdurraheem,1,0,0,1,7
Abdurrahim,4,0,0,1,27
Abdurrahmaan,1,0,0,1,5
Abdurrahman,26,0,0,1,536
Abdurrehman,3,0,0,1,17
Abdussamad,1,0,0,1,6
Abe,132,0,0,1,8757
Abeal,1,0,0,1,5
Abed,23,0,0,1,182
Abedallah,3,0,0,1,16
Abedalrahman,2,0,0,1,11
Abednego,8,0,0,1,48
Abeeha,5,1,37,0,0
Abeer,39,1,462,0,0
Abeera,2,1,11,0,0
Abegail,27,1,438,0,0
Abegale,1,1,5,0,0
Abegayle,3,1,16,0,0
Abel,132,0.113636363636364,90,1,34409
Abela,1,1,6,0,0
Abelardo,98,0,0,1,4036
Abelina,64,1,480,0,0
Abelino,93,0,0,1,807
Abell,3,0.333333333333333,5,0.666666666666667,11
Abella,10,1,259,0,0
Abem,2,0,0,1,19
Aben,1,0,0,1,7
Abena,38,1,492,0,0
Abenezer,8,0,0,1,64
Abeni,28,1,337,0,0
Aber,1,1,5,0,0
Aberdeen,8,1,45,0,0
Aberham,5,0,0,1,25
Abernathy,2,1,13,0,0
Abert,3,0,0,1,15
Abery,1,1,7,0,0
Abey,4,0.75,17,0.5,10
Abgail,4,1,22,0,0
Abha,5,1,34,0,0
Abhay,21,0,0,1,428
Abheek,1,0,0,1,7
Abhi,14,0,0,1,167
Abhigna,3,1,17,0,0
Abhijay,11,0,0,1,79
Abhijeet,6,0,0,1,45
Abhijit,5,0,0,1,32
Abhijot,3,0,0,1,19
Abhik,2,0,0,1,10
Abhilash,4,0,0,1,22
Abhimanyu,12,0,0,1,109
Abhinav,21,0,0,1,1331
Abhinay,1,0,0,1,5
Abhiraj,5,0,0,1,36
Abhiram,15,0,0,1,485
Abhirup,2,0,0,1,10
Abhishek,30,0,0,1,730
Abi,33,1,395,0.0909090909090909,17
Abia,6,1,50,0,0
Abiageal,9,1,94,0,0
Abiah,1,1,7,0,0
Abian,1,0,0,1,5
Abianna,1,1,5,0,0
Abibail,1,1,6,0,0
Abid,28,0,0,1,269
Abida,4,1,24,0,0
Abidan,2,0,0,1,10
Abie,71,0.154929577464789,67,0.971830985915493,620
Abiegail,2,1,10,0,0
Abiel,39,0.0512820512820513,12,1,756
Abiela,3,1,15,0,0
Abiella,3,1,16,0,0
Abiezer,1,0,0,1,7
Abigael,30,1,1331,0.0333333333333333,5
Abigaelle,6,1,42,0,0
Abigahil,7,1,42,0,0
Abigai,1,1,6,0,0
Abigail,132,1,284258,0.25,557
Abigaile,21,1,497,0,0
Abigailgrace,1,1,5,0,0
Abigaille,4,1,21,0,0
Abigailmarie,1,1,5,0,0
Abigal,33,1,656,0,0
Abigale,44,1,4713,0,0
Abigayil,4,1,21,0,0
Abigayl,19,1,303,0,0
Abigayle,38,1,5194,0.0263157894736842,5
Abigeal,3,1,15,0,0
Abigel,4,1,20,0,0
Abigial,17,1,137,0,0
Abiha,5,1,36,0,0
Abihail,4,1,29,0,0
Abijah,21,0.238095238095238,27,1,184
Abilene,26,1,639,0,0
Abilgail,4,1,28,0,0
Abilio,1,0,0,1,5
Abimael,41,0,0,1,890
Abimbola,14,0.928571428571429,79,0.0714285714285714,5
Abimelec,6,0,0,1,37
Abin,1,0,0,1,5
Abinadab,1,0,0,1,5
Abinadi,4,0,0,1,22
Abinav,4,0,0,1,24
Abinaya,7,1,43,0,0
Abiodun,3,0,0,1,18
Abiola,21,0.80952380952381,120,0.333333333333333,39
Abiona,2,1,14,0,0
Abir,23,0.652173913043478,92,0.695652173913043,156
Abira,2,1,10,0,0
Abiram,1,0,0,1,5
Abirami,5,1,31,0,0
Abisag,3,1,16,0,0
Abisai,25,0,0,1,648
Abish,3,1,17,0,0
Abisha,4,1,26,0,0
Abishai,12,0,0,1,102
Abishek,7,0,0,1,50
Abisola,11,1,69,0,0
Abiud,1,0,0,1,6
Abiyah,1,1,5,0,0
Abla,2,1,11,0,0
Able,66,0,0,1,679
Abnel,1,0,0,1,6
Abner,132,0,0,1,6476
Abney,3,0.666666666666667,10,0.333333333333333,5
Abony,7,1,43,0,0
Abou,9,0,0,1,57
Aboubacar,19,0,0,1,222
Aboubakar,5,0,0,1,30
