Name,YearsAppearing,CountsFemale,CountsMale,ProbGender,Upper,Lower
Laybah,2,6,0,Female,1,0.609665712097835
Laycee,6,51,0,Female,1,0.929953380101469
Laycee-mae,1,3,0,Female,1,0.438502968244955
Laycey,1,1,0,Female,1,0.0512932943875506
Layci,2,7,0,Female,1,0.645669564933313
Laycie,6,72,0,Female,1,0.949348827403542
Layden,1,0,6,Male,1,0.609665712097835
Layke,1,0,3,Male,1,0.438502968244955
Layla,16,9449,0,Female,1,0.999593618613257
Layla-faye,1,3,0,Female,1,0.438502968244955
Layla-grace,6,47,0,Female,1,0.924442395836004
Layla-jade,3,11,0,Female,1,0.741167033031968
Layla-jai,1,3,0,Female,1,0.438502968244955
Layla-jane,2,12,0,Female,1,0.757505993344759
Layla-jay,1,5,0,Female,1,0.565517535216825
Layla-jayne,1,5,0,Female,1,0.565517535216825
Layla-jean,1,1,0,Female,1,0.0512932943875506
Layla-leigh,3,10,0,Female,1,0.722467200137111
Layla-louise,4,16,0,Female,1,0.806392319465564
Layla-mae,5,63,0,Female,1,0.942528800411148
Layla-mai,5,36,0,Female,1,0.903581371405536
Layla-marie,2,10,0,Female,1,0.722467200137111
Layla-may,5,69,0,Female,1,0.947262741810948
Layla-rae,3,20,0,Female,1,0.838874841947181
Layla-rose,5,83,0,Female,1,0.955764690358026
Laylaa,5,14,0,Female,1,0.784689197262364
Laylah,15,187,0,Female,1,0.979870941857014
Laylah-may,1,1,0,Female,1,0.0512932943875506
Laylah-rose,1,3,0,Female,1,0.438502968244955
Laylan,4,0,19,Male,1,0.831820775947384
Layland,6,0,28,Male,1,0.879356695234154
Laylani,1,3,0,Female,1,0.438502968244955
Laylen,3,0,13,Male,1,0.771904627645802
Laylia,1,1,0,Female,1,0.0512932943875506
Laylon,1,0,3,Male,1,0.438502968244955
Layna,14,75,0,Female,1,0.951276157517194
Layne,13,8,79,Male,0.952667107744913,0.828914352105287
Laynee,2,8,0,Female,1,0.67559243511612
Layni,1,3,0,Female,1,0.438502968244955
Laynie,7,45,0,Female,1,0.921348401267112
Layora,1,1,0,Female,1,0.0512932943875506
Layson,2,0,5,Male,1,0.565517535216825
Laytan,1,0,3,Male,1,0.438502968244955
Layten,4,0,12,Male,1,0.757505993344759
Layth,11,0,84,Male,1,0.95626827158534
Laytham,1,0,3,Male,1,0.438502968244955
Laythan,1,0,3,Male,1,0.438502968244955
Laytn,1,0,1,Male,1,0.0512932943875506
Layton,16,1,2182,Male,0.999976503300784,0.997409682535396
Layton-james,2,0,6,Male,1,0.609665712097835
Layton-jay,1,0,3,Male,1,0.438502968244955
Layton-lee,3,0,11,Male,1,0.741167033031968
Layyah,1,5,0,Female,1,0.565517535216825
Layyinah,1,3,0,Female,1,0.438502968244955
Lazar,7,0,23,Male,1,0.856883381549573
Lazarus,6,0,18,Male,1,0.824120776353342
Lazer,1,0,3,Male,1,0.438502968244955
Lazo,3,0,10,Male,1,0.722467200137111
Le,9,27,16,Female,0.756236609903494,0.478598091596885
