Name,Year,F,M
Aalia,1997,7,0
Aalia,1999,18,0
Aalia,2000,9,0
Aalia,2001,8,0
Aalia,2002,12,0
Aalia,2003,11,0
Aalia,2004,15,0
Aalia,2005,11,0
Aalia,2006,8,0
Aalia,2007,8,0
Aalia,2008,15,0
Aalia,2009,18,0
Aalia,2010,23,0
Aalia,2011,17,0
Aalia,2012,22,0
Aaliah,1997,3,0
Aaliah,1998,3,0
Aaliah,1999,9,0
Aaliah,2000,6,0
Aaliah,2001,16,0
Aaliah,2002,16,0
Aaliah,2003,20,0
Aaliah,2004,17,0
Aaliah,2005,15,0
Aaliah,2006,18,0
Aaliah,2007,7,0
Aaliah,2008,13,0
Aaliah,2009,5,0
Aaliah,2010,4,0
Aaliah,2011,5,0
Aaliegha,2009,1,0
Aalim,2009,0,1
Aalim,2011,0,3
Aalimah,2007,3,0
Aalimah,2008,5,0
Aalimah,2011,3,0
Aalimah,2012,3,0
Aalish,2010,1,0
Aalisha,2000,3,0
Aalisha,2006,3,0
Aalisha,2007,3,0
Aalisha,2010,4,0
Aaliya,1996,11,0
Aaliya,1997,11,0
Aaliya,1998,9,0
Aaliya,1999,10,0
Aaliya,2000,20,0
Aaliya,2001,25,0
Aaliya,2002,33,0
Aaliya,2003,28,0
Aaliya,2004,40,0
Aaliya,2005,31,0
Aaliya,2006,25,0
Aaliya,2007,24,0
Aaliya,2008,26,0
Aaliya,2009,25,0
Aaliya,2010,39,0
Aaliya,2011,27,0
Aaliya,2012,36,0
Aaliyah,1996,111,0
Aaliyah,1997,128,0
Aaliyah,1998,112,0
Aaliyah,1999,70,0
Aaliyah,2000,147,0
Aaliyah,2001,230,0
Aaliyah,2002,545,0
Aaliyah,2003,537,0
Aaliyah,2004,501,0
Aaliyah,2005,436,0
Aaliyah,2006,498,0
Aaliyah,2007,387,0
Aaliyah,2008,427,0
Aaliyah,2009,438,0
Aaliyah,2010,460,0
Aaliyah,2011,532,0
Aaliyah,2012,481,0
Aaliyah-louise,2008,3,0
Aaliyah-mae,2011,3,0
Aaliyah-marie,2007,3,0
Aaliyah-may,2012,3,0
Aaliyah-rose,2011,5,0
Aaliyah-rose,2012,5,0
Aaliyah-skye,2012,1,0
Aaliyan,2008,0,3
Aaliyan,2009,0,4
Aaliyha,2002,5,0
Aaliyha,2003,8,0
Aaliyha,2006,3,0
Aaliyha,2007,4,0
Aaliyha,2011,4,0
Aaliyha,2012,6,0
Aallaya,2011,1,0
Aalliyah,2009,3,0
Aalya,2011,3,0
Aalyah,2004,3,0
Aalyiah,2006,3,0
Aalysia,2012,1,0
Aamaira,2010,1,0
Aaman,1996,0,3
Aaman,1997,0,4
Aaman,2004,0,3
Aaman,2007,0,3
Aaman,2008,0,3
Aamanah,2005,3,0
Aamanee,2009,5,0
Aamanee,2011,7,0
Aamani,2003,3,0
Aamani,2005,3,0
Aamani,2006,7,0
Aamani,2008,6,0
Aamani,2009,4,0
Aamani,2010,3,0
Aamani,2012,4,0
Aamar,1997,0,3
Aamar,2001,0,3
Aamaya,2012,3,0
Aamena,1996,6,0
Aamena,1997,5,0
Aamena,1998,7,0
Aamena,1999,9,0
Aamena,2000,6,0
Aamena,2001,9,0
Aamena,2002,6,0
Aamena,2003,6,0
Aamena,2004,5,0
Aamena,2005,10,0
Aamena,2006,3,0
Aamena,2007,7,0
Aamena,2009,3,0
Aamena,2010,6,0
Aamena,2011,10,0
Aamena,2012,5,0
Aamenah,1996,5,0
Aamenah,1998,3,0
Aamenah,1999,4,0
Aamenah,2000,5,0
Aamenah,2003,7,0
Aamenah,2006,6,0
Aamenah,2010,4,0
Aamenah,2011,4,0
Aamenah,2012,5,0
Aamer,2002,0,4
Aamer,2005,0,3
Aamer,2009,0,3
Aamer,2010,0,4
Aamil,2009,0,3
Aamil,2010,0,3
Aamil,2011,0,4
Aamil,2012,0,5
Aamilah,2003,5,0
Aamilah,2004,5,0
Aamilah,2005,5,0
Aamilah,2006,5,0
Aamilah,2007,5,0
Aamilah,2008,7,0
Aamilah,2009,5,0
Aamilah,2010,14,0
Aamilah,2011,14,0
Aamilah,2012,14,0
Aamina,1996,14,0
Aamina,1997,20,0
Aamina,1998,27,0
Aamina,1999,26,0
Aamina,2000,28,0
Aamina,2001,41,0
Aamina,2002,43,0
Aamina,2003,47,0
Aamina,2004,53,0
Aamina,2005,70,0
Aamina,2006,57,0
Aamina,2007,69,0
Aamina,2008,60,0
Aamina,2009,78,0
Aamina,2010,67,0
Aamina,2011,68,0
Aamina,2012,54,0
Aaminah,1996,17,0
Aaminah,1997,23,0
Aaminah,1998,24,0
Aaminah,1999,36,0
Aaminah,2000,46,0
Aaminah,2001,35,0
Aaminah,2002,57,0
Aaminah,2003,67,0
Aaminah,2004,54,0
Aaminah,2005,62,0
Aaminah,2006,69,0
Aaminah,2007,82,0
Aaminah,2008,91,0
Aaminah,2009,97,0
Aaminah,2010,118,0
Aaminah,2011,125,0
Aaminah,2012,120,0
Aamir,1996,0,57
Aamir,1997,0,46
Aamir,1998,0,33
Aamir,1999,0,47
Aamir,2000,0,27
Aamir,2001,0,30
Aamir,2002,0,29
Aamir,2003,0,27
Aamir,2004,0,16
Aamir,2005,0,17
Aamir,2006,0,24
Aamir,2007,0,21
Aamir,2008,0,22
Aamir,2009,0,16
Aamir,2010,0,26
Aamir,2011,0,22
Aamir,2012,0,18
Aamira,1997,3,0
Aamira,1999,3,0
Aamira,2000,3,0
Aamira,2004,3,0
Aamira,2005,4,0
Aamira,2007,4,0
Aamira,2008,5,0
Aamira,2009,3,0
Aamira,2010,16,0
Aamira,2011,19,0
Aamira,2012,9,0
Aamirah,1996,11,0
Aamirah,1997,7,0
Aamirah,1998,8,0
Aamirah,1999,10,0
Aamirah,2000,6,0
Aamirah,2001,13,0
Aamirah,2002,7,0
Aamirah,2003,7,0
Aamirah,2004,8,0
Aamirah,2005,6,0
Aamirah,2006,12,0
Aamirah,2007,5,0
Aamirah,2008,6,0
Aamirah,2009,7,0
Aamirah,2010,11,0
Aamirah,2011,7,0
Aamirah,2012,7,0
Aamna,1996,10,0
Aamna,1997,17,0
Aamna,1998,14,0
Aamna,1999,10,0
Aamna,2000,17,0
Aamna,2001,18,0
Aamna,2002,18,0
Aamna,2003,19,0
Aamna,2004,13,0
Aamna,2005,24,0
Aamna,2006,32,0
Aamna,2007,27,0
Aamna,2008,35,0
Aamna,2009,31,0
Aamna,2010,27,0
Aamna,2011,23,0
Aamna,2012,18,0
Aamnah,1999,3,0
Aamnah,2000,4,0
Aamnah,2002,7,0
Aamnah,2003,4,0
Aamnah,2004,4,0
Aamnah,2006,5,0
Aamnah,2007,4,0
Aamnah,2008,8,0
Aamnah,2009,5,0
Aamnah,2011,3,0
Aamnah,2012,6,0
Aana,2012,3,0
Aanaya,2011,1,0
Aanayah,2011,1,0
Aanchal,2006,3,0
Aanchal,2008,5,0
Aania,2007,4,0
Aania,2008,4,0
Aania,2009,4,0
Aania,2010,4,0
Aania,2011,12,0
Aania,2012,6,0
Aanika,2009,4,0
Aanis,2006,0,3
Aanisah,1996,12,0
Aanisah,1997,6,0
Aanisah,1998,4,0
Aanisah,1999,8,0
Aanisah,2000,8,0
Aanisah,2001,4,0
Aanisah,2002,3,0
Aanisah,2003,3,0
Aanisah,2009,1,0
Aanisah,2010,5,0
Aanisah,2012,3,0
Aanisha,2003,3,0
Aaniya,2008,3,0
Aaniya,2010,5,0
Aaniya,2011,4,0
Aaniya,2012,5,0
Aaniyah,2007,3,0
Aaniyah,2011,3,0
Aaniyah,2012,4,0
Aanuoluwa,2010,1,0
Aanvi,2012,4,0
Aanya,1997,3,0
Aanya,2000,5,0
Aanya,2001,8,0
Aanya,2002,12,0
Aanya,2003,10,0
Aanya,2004,10,0
Aanya,2005,11,0
Aanya,2006,20,0
Aanya,2007,20,0
Aanya,2008,41,0
Aanya,2009,28,0
Aanya,2010,58,0
Aanya,2011,72,0
Aanya,2012,51,0
Aaqib,1996,0,6
Aaqib,1997,0,7
Aaqib,1999,0,5
Aaqib,2000,0,4
Aaqib,2001,0,5
Aaqib,2002,0,12
Aaqib,2003,0,9
Aaqib,2004,0,6
Aaqib,2005,0,10
Aaqib,2006,0,12
Aaqib,2007,0,4
Aaqib,2008,0,12
Aaqib,2009,0,5
Aaqib,2010,0,5
Aaqib,2011,0,9
Aaqib,2012,0,9
Aaqil,2001,0,3
Aaqil,2003,0,3
Aaqil,2005,0,3
Aaqil,2007,0,3
Aaqil,2008,0,7
Aaqil,2009,0,5
Aara,2009,4,0
Aara,2010,5,0
Aara,2011,9,0
Aara,2012,6,0
Aarabi,2008,4,0
Aarabi,2011,3,0
