Name,F,M,Year
Aaman,0,3,2008
Aamanah,3,0,2005
Aamanee,5,0,2009
Aamanee,6,0,2011
Aamani,3,0,2003
Aamani,3,0,2005
Aamani,7,0,2006
Aamani,6,0,2008
Aamani,4,0,2009
Aamani,3,0,2010
Aamar,0,3,1997
Aamar,0,3,2001
Aamena,6,0,1996
Aamena,5,0,1997
Aamena,7,0,1998
Aamena,9,0,1999
Aamena,6,0,2000
Aamena,9,0,2001
Aamena,6,0,2002
Aamena,6,0,2003
Aamena,5,0,2004
Aamena,10,0,2005
Aamena,3,0,2006
Aamena,7,0,2007
Aamena,3,0,2009
Aamena,6,0,2010
Aamena,10,0,2011
Aamenah,5,0,1996
Aamenah,3,0,1998
Aamenah,4,0,1999
Aamenah,5,0,2000
Aamenah,7,0,2003
Aamenah,6,0,2006
Aamenah,4,0,2010
Aamenah,4,0,2011
Aamer,0,4,2002
Aamer,0,3,2005
Aamer,0,3,2009
Aamer,0,4,2010
Aamil,0,3,2009
Aamil,0,3,2010
Aamil,0,4,2011
Aamilah,5,0,2003
Aamilah,5,0,2004
Aamilah,5,0,2005
Aamilah,5,0,2006
Aamilah,5,0,2007
Aamilah,7,0,2008
Aamilah,5,0,2009
Aamilah,14,0,2010
Aamilah,14,0,2011
Aamina,14,0,1996
Aamina,20,0,1997
Aamina,27,0,1998
Aamina,26,0,1999
Aamina,28,0,2000
Aamina,41,0,2001
Aamina,43,0,2002
Aamina,47,0,2003
Aamina,53,0,2004
Aamina,70,0,2005
Aamina,57,0,2006
Aamina,69,0,2007
Aamina,60,0,2008
Aamina,78,0,2009
Aamina,67,0,2010
Aamina,67,0,2011
Aaminah,17,0,1996
Aaminah,23,0,1997
Aaminah,24,0,1998
Aaminah,36,0,1999
Aaminah,46,0,2000
Aaminah,35,0,2001
Aaminah,57,0,2002
Aaminah,67,0,2003
Aaminah,54,0,2004
Aaminah,62,0,2005
Aaminah,69,0,2006
Aaminah,82,0,2007
Aaminah,91,0,2008
Aaminah,97,0,2009
Aaminah,118,0,2010
Aaminah,123,0,2011
Aamir,0,57,1996
Aamir,0,46,1997
Aamir,0,33,1998
Aamir,0,47,1999
Aamir,0,27,2000
Aamir,0,30,2001
Aamir,0,29,2002
Aamir,0,27,2003
Aamir,0,16,2004
Aamir,0,17,2005
Aamir,0,24,2006
Aamir,0,21,2007
Aamir,0,22,2008
Aamir,0,16,2009
Aamir,0,26,2010
Aamir,0,22,2011
Aamira,3,0,1997
Aamira,3,0,1999
Aamira,3,0,2000
Aamira,3,0,2004
Aamira,4,0,2005
Aamira,4,0,2007
Aamira,5,0,2008
Aamira,3,0,2009
Aamira,16,0,2010
Aamira,19,0,2011
Aamirah,11,0,1996
Aamirah,7,0,1997
Aamirah,8,0,1998
Aamirah,10,0,1999
Aamirah,6,0,2000
Aamirah,13,0,2001
Aamirah,7,0,2002
Aamirah,7,0,2003
Aamirah,8,0,2004
Aamirah,6,0,2005
Aamirah,12,0,2006
Aamirah,5,0,2007
Aamirah,6,0,2008
Aamirah,7,0,2009
Aamirah,11,0,2010
Aamirah,7,0,2011
Aamna,10,0,1996
Aamna,17,0,1997
Aamna,14,0,1998
Aamna,10,0,1999
Aamna,17,0,2000
Aamna,18,0,2001
Aamna,18,0,2002
Aamna,19,0,2003
Aamna,13,0,2004
Aamna,24,0,2005
Aamna,32,0,2006
Aamna,27,0,2007
Aamna,35,0,2008
Aamna,31,0,2009
Aamna,27,0,2010
Aamna,22,0,2011
Aamnah,3,0,1999
Aamnah,4,0,2000
Aamnah,7,0,2002
Aamnah,4,0,2003
Aamnah,4,0,2004
Aamnah,5,0,2006
Aamnah,4,0,2007
Aamnah,8,0,2008
Aamnah,5,0,2009
Aamnah,3,0,2011
Aanchal,3,0,2006
Aanchal,5,0,2008
Aania,4,0,2007
Aania,4,0,2008
Aania,4,0,2009
Aania,4,0,2010
Aania,11,0,2011
Aanika,4,0,2009
Aanis,0,3,2006
Aanisah,12,0,1996
Aanisah,6,0,1997
Aanisah,4,0,1998
Aanisah,8,0,1999
Aanisah,8,0,2000
Aanisah,4,0,2001
Aanisah,3,0,2002
Aanisah,3,0,2003
Aanisah,1,0,2009
Aanisah,5,0,2010
Aanisha,3,0,2003
Aaniya,3,0,2008
Aaniya,5,0,2010
Aaniya,4,0,2011
Aaniyah,3,0,2007
Aaniyah,3,0,2011
Aanuoluwa,1,0,2010
Aanya,3,0,1997
Aanya,5,0,2000
