Name,F,M,Year
ARIANA,20,0,1996
ARIANE,19,0,1996
ARIANNA,17,0,1996
ARIANNE,15,0,1996
ARIANWEN,3,0,1996
ARIBA,4,0,1996
ARIC,0,4,1996
ARIEL,0,6,1996
ARIELLA,5,0,1996
ARIELLE,7,0,1996
ARIF,0,22,1996
ARIFA,12,0,1996
ARJAN,0,19,1996
ARJUN,0,72,1996
ARLEN,0,5,1996
ARMAAN,0,14,1996
ARMAN,0,17,1996
ARMAND,0,4,1996
ARMANI,12,8,1996
ARMIN,0,5,1996
ARMON,0,4,1996
ARNIE,0,8,1996
ARNOLD,0,18,1996
ARON,0,86,1996
AROOJ,15,0,1996
AROON,0,6,1996
AROOSA,17,0,1996
ARRAN,0,153,1996
ARRIANNE,4,0,1996
ARRIE,0,4,1996
ARRON,0,253,1996
ARRY,0,7,1996
ARSALAAN,0,6,1996
ARSALAN,0,15,1996
ARSHAD,0,8,1996
ARSLAAN,0,9,1996
ARSLAN,0,13,1996
ARTEMIS,4,0,1996
ARTHUR,0,129,1996
ARTI,3,0,1996
ARUB,3,0,1996
ARUBA,3,0,1996
ARUN,0,72,1996
ARUNDEEP,0,9,1996
ARUSA,5,0,1996
ARVIN,0,3,1996
ARVIND,0,3,1996
ARVINDER,0,5,1996
ARWA,3,0,1996
ARWEL,0,10,1996
ARYA,0,4,1996
ARYAN,0,5,1996
ARYEH,0,3,1996
ARZOO,4,0,1996
ASA,0,36,1996
ASAD,0,43,1996
ASAM,0,5,1996
ASEEL,0,3,1996
ASEEM,0,3,1996
ASH,0,4,1996
ASHA,63,3,1996
ASHAN,0,3,1996
ASHANTE,3,0,1996
ASHANTI,7,0,1996
ASHDON,4,0,1996
ASHER,7,37,1996
ASHFAQ,0,6,1996
ASHFORD,0,3,1996
ASHIA,6,0,1996
ASHIKA,4,0,1996
ASHIR,0,3,1996
ASHISH,0,7,1996
ASHKAN,0,3,1996
ASHLEA,52,0,1996
ASHLEE,34,25,1996
ASHLEEN,4,0,1996
ASHLEIGH,1081,52,1996
ASHLEIGH-JADE,3,0,1996
ASHLEIGH-LOUISE,4,0,1996
ASHLEIGH-MARIE,3,0,1996
ASHLEIGH-PAIGE,4,0,1996
ASHLEY,287,1874,1996
ASHLIE,29,4,1996
ASHLY,0,3,1996
ASHLYN,7,0,1996
ASHNA,5,0,1996
ASHNI,3,0,1996
ASHOK,0,3,1996
ASHRAF,0,25,1996
ASHRAFUL,0,5,1996
ASHTON,37,74,1996
ASHVINI,3,0,1996
ASHWIN,0,9,1996
ASIA,30,0,1996
ASID,0,3,1996
ASIF,0,30,1996
ASIFA,4,0,1996
ASIM,0,62,1996
ASIMA,3,0,1996
ASIYA,10,0,1996
ASIYAH,5,0,1996
ASLAM,0,7,1996
ASLI,5,0,1996
ASMA,47,0,1996
ASMAA,8,0,1996
ASMAH,4,0,1996
ASRAF,0,3,1996
ASSAD,0,6,1996
ASSIA,3,0,1996
ASTEN,0,3,1996
ASTON,10,51,1996
ASTRA,9,0,1996
ASTRID,14,0,1996
ATALANTA,7,0,1996
ATEEQ,0,3,1996
ATHENA,28,0,1996
ATHENE,4,0,1996
ATHINA,5,0,1996
ATIF,0,20,1996
ATIKA,4,0,1996
ATIKAH,4,0,1996
ATIYA,10,0,1996
ATIYAH,5,0,1996
ATIYYAH,6,0,1996
ATLANTA,103,0,1996
ATTIF,0,3,1996
ATTIYA,6,0,1996
AUBERON,0,5,1996
AUBREY,0,6,1996
AUDREY,5,0,1996
AUGUST,0,3,1996
AUGUSTA,8,0,1996
AUGUSTIN,0,4,1996
AUGUSTINE,0,6,1996
AUGUSTUS,0,19,1996
AURELIA,7,0,1996
AURELIE,4,0,1996
AURIOL,3,0,1996
AURORA,16,0,1996
AUSTEN,0,19,1996
AUSTIN,0,65,1996
AUSTYN,0,4,1996
AUTUMN,80,0,1996
AVA,30,0,1996
AVALON,6,0,1996
AVANI,3,0,1996
AVERIL,3,0,1996
AVI,0,4,1996
AVINASH,0,12,1996
AVISHA,3,0,1996
AVITAL,4,0,1996
AVNEET,17,0,1996
AVNI,5,0,1996
AVRIL,5,0,1996
AVROHOM,0,6,1996
AVTAR,0,3,1996
AWAIS,0,50,1996
AWEN,8,0,1996
AXEL,0,16,1996
AXL,0,5,1996
AXTON,0,3,1996
AYA,16,0,1996
AYAH,10,0,1996
AYAN,9,3,1996
AYANNA,6,0,1996
AYAZ,0,5,1996
AYDAN,0,6,1996
AYDEN,0,27,1996
AYDIN,0,17,1996
AYDON,0,3,1996
AYEESHA,4,0,1996
AYEISHA,5,0,1996
AYESHA,271,0,1996
AYESHAH,3,0,1996
AYESHIA,6,0,1996
AYHAN,0,3,1996
AYISHA,15,0,1996
AYLA,30,0,1996
AYLIN,4,0,1996
AYLISH,9,0,1996
AYLISHA,3,0,1996
AYMAN,0,14,1996
AYMEN,0,3,1996
AYNSLEY,3,0,1996
AYOBAMI,3,3,1996
AYODEJI,0,8,1996
AYODELE,3,4,1996
AYOKUNLE,0,5,1996
AYOMIDE,9,11,1996
AYOOLA,0,4,1996
AYOUB,0,6,1996
AYRAN,0,3,1996
AYRTON,0,37,1996
AYSE,22,0,1996
AYSHA,94,0,1996
AYSHE,3,0,1996
AYSHEA,3,0,1996
AYUB,0,10,1996
AYYUB,0,6,1996
AZAD,0,6,1996
AZAM,0,3,1996
AZARIA,7,0,1996
AZEEM,0,20,1996
AZEEZ,0,6,1996
AZHAR,0,13,1996
AZIM,0,7,1996
AZIMA,4,0,1996
AZIZ,0,7,1996
AZIZA,8,0,1996
AZIZUL,0,3,1996
AZIZUR,0,6,1996
AZKA,4,0,1996
AZMEENA,3,0,1996
AZMINA,4,0,1996
AZRA,6,0,1996
AZRAA,5,0,1996
BABAJIDE,0,4,1996
BABAK,0,3,1996
BABAR,0,4,1996
BABATUNDE,0,13,1996
BABER,0,3,1996
BABY,3,0,1996
BADEN,0,4,1996
BAHAR,5,0,1996
BAILEY,26,109,1996
BAILIE,4,0,1996
BALAL,0,5,1996
BALDEEP,0,5,1996
BALJINDER,4,3,1996
BALJIT,4,0,1996
BALLAL,0,3,1996
BALPREET,3,0,1996
BALRAJ,0,16,1996
BAMIDELE,0,5,1996
BANSRI,3,0,1996
BARAN,0,5,1996
BARBARA,26,0,1996
BARIS,0,7,1996
BARNABAS,0,10,1996
BARNABY,0,113,1996
BARNEY,0,37,1996
BARRIE,0,10,1996
BARRY,0,45,1996
BARTHOLOMEW,0,12,1996
BARTON,0,3,1996
BASHIR,0,6,1996
BASIL,0,6,1996
BASIT,0,4,1996
BAVITA,4,0,1996
BAXTER,0,5,1996
BAYAN,3,0,1996
BAYLEE,5,3,1996
BAYLEIGH,6,0,1996
BAYLEY,4,16,1996
BEATRICE,117,0,1996
BEATRIX,14,0,1996
BEAU,6,41,1996
BECCA,4,0,1996
BECKI,11,0,1996
BECKIE,19,0,1996
BECKY,146,0,1996
BEDWYR,0,3,1996
BEGUM,7,0,1996
BEKI,3,0,1996
BELAL,0,4,1996
BELINDA,43,0,1996
BELLA,23,0,1996
BELLE,7,0,1996
BELYNDA,3,0,1996
BEN,0,2332,1996
BENEDICT,0,176,1996
BENITA,7,0,1996
BENITO,0,15,1996
BENJAMAN,0,7,1996
BENJAMEN,0,8,1996
BENJAMIN,0,4805,1996
BENJIMAN,0,4,1996
BENN,0,49,1996
BENNY,0,4,1996
BENOIT,0,4,1996
BENSON,0,6,1996
BENTLEY,0,3,1996
BENTON,0,4,1996
BEREN,0,4,1996
BERFIN,8,0,1996
BERKAN,0,3,1996
BERKAY,0,5,1996
BERNA,3,0,1996
BERNADETTE,39,0,1996
BERNADINE,3,0,1996
BERNARD,0,23,1996
BERNICE,14,0,1996
