Name,F,M,Year
Allen,0,1,2009
Alli,1,0,2009
Allick,0,1,2009
Allie,8,0,2009
Allisha,1,0,2009
Allisia,1,0,2009
Allison,1,0,2009
Allistair,0,1,2009
Ally,2,3,2009
Allyesa,1,0,2009
Allyson,1,0,2009
Almar,1,0,2009
Almas,1,0,2009
Almehdi,0,1,2009
Almina,1,0,2009
Almontather,0,1,2009
Almontiser,0,1,2009
Alper,0,1,2009
Alphonse,0,1,2009
Althea,1,0,2009
Alvin,0,2,2009
Alya,3,0,2009
Alycia,1,0,2009
Alyesha,1,0,2009
Alys,1,0,2009
Alysa,1,0,2009
Alysha-may,1,0,2009
Alyshia,1,0,2009
Alysia,3,0,2009
Alyss,1,0,2009
Alyssa,37,0,2009
Alyx,6,0,2009
Alyza,1,0,2009
Alzahra,1,0,2009
Alzahraa,1,0,2009
Alzubair,0,1,2009
Ama,1,0,2009
Amaan,1,2,2009
Amaani,1,0,2009
Amaar,0,1,2009
Amaari,0,1,2009
Amal,1,2,2009
Amaleigh,1,0,2009
Amalya,1,0,2009
Amanda,15,0,2009
Amanda-jane,1,0,2009
Amandeep,0,1,2009
Amandev,0,1,2009
Amandine,1,0,2009
Amanzhan,0,1,2009
Amara,3,0,2009
Amarachi,1,0,2009
Amarah,1,0,2009
Amaranth,1,0,2009
Amardev,0,1,2009
Amaya,5,0,2009
Ambar,2,0,2009
Amber,119,0,2009
Amber-leigh,3,0,2009
Amber-lily,1,0,2009
Amber-may,1,0,2009
Ambika,1,0,2009
Ambre,1,0,2009
Ambur,1,0,2009
Ame,1,0,2009
Ameen,0,1,2009
Ameer,0,1,2009
Ameera,7,0,2009
Ameerah,1,0,2009
Ameeran,1,0,2009
Amein,0,1,2009
Amelia,120,0,2009
Amelie,54,0,2009
Amellia,1,0,2009
Amena,1,0,2009
Amerie,1,0,2009
Ami,8,0,2009
Ami-jean,1,0,2009
Ami-jo,1,0,2009
Ami-lou,1,0,2009
Ami-may,1,0,2009
Amie,15,0,2009
Amiee,6,0,2009
Amiee-lee,1,0,2009
Amiejane,1,0,2009
Amii,3,0,2009
Amilah,1,0,2009
Amilee,1,0,2009
Amilie,2,0,2009
Amin,0,1,2009
Amina,7,0,2009
Aminah,4,0,2009
Amindeep,0,1,2009
Amir,0,4,2009
Amira,11,0,2009
Amirah,2,0,2009
Amisha,1,0,2009
Amita,1,0,2009
Amity,1,0,2009
Amiyah,1,0,2009
Amjad,0,1,2009
Ammaarah,1,0,2009
Ammar,0,2,2009
Ammaz,0,1,2009
Ammie,1,0,2009
Ammie-leigh,1,0,2009
Amna,7,0,2009
Amneet,1,0,2009
Amogh,0,1,2009
Amor,0,1,2009
Amorie,1,0,2009
Amridean,0,1,2009
Amrit,1,0,2009
Amrita,2,0,2009
Amritbir,0,1,2009
Amy,332,0,2009
Amy-jane,1,0,2009
Amy-jayne,1,0,2009
Amy-lee,4,0,2009
Amy-leigh,7,0,2009
Amy-may,1,0,2009
Amylee,1,0,2009
Amyleigh,2,0,2009
Amylouise,1,0,2009
Amynicole,1,0,2009
Ana,8,0,2009
Ana-lucia,1,0,2009
Anabella,1,0,2009
Anabelle,1,0,2009
Anah,1,0,2009
Anais,4,0,2009
Anaise,1,0,2009
Analeigh,2,0,2009
Analia,1,0,2009
Analiegh,1,0,2009
Analise,1,0,2009
Anam,1,0,2009
Anas,0,5,2009
Anastasia,3,0,2009
Anastasija,1,0,2009
Anastasiya,1,0,2009
Anastazia,1,0,2009
Anastazja,2,0,2009
Anatole,0,1,2009
Anaya,2,0,2009
Andam,0,1,2009
Anders,0,3,2009
Anderson,0,3,2009
Andi,6,0,2009
Andie,5,0,2009
Andii,1,0,2009
Andrea,4,0,2009
Andreas,0,3,2009
Andreas-james,0,1,2009
Andrei,0,2,2009
Andreja,1,0,2009
Andres,0,1,2009
Andreu,0,1,2009
Andrew,0,206,2009
Andrey,0,1,2009
Andromaches,1,0,2009
